"ESTRATO","DEPARTAMENTO","P204","P205_A","P612","P613","P614_T","P615_T","P617","P619","P621","P622_1","P622_2","P625","P635","P636","P638_1","P638_2","P638_3","P638_4","P639_1","P639_1_1","P639_1_2","P639_1_3","P639_2"
2,"AREQUIPA",1,37,4,2,5,72,1,2,1,40,0,2,3,1,2,2,2,2,1,1,4,2,2
2,"AREQUIPA",1,30,4,2,6,48,1,2,2,420,0,2,1,1,2,2,2,2,1,1,3,2,2
2,"AREQUIPA",2,25,3,2,5,60,1,2,3,500,0,1,3,1,2,2,2,2,1,1,3,2,2
2,"AREQUIPA",1,35,4,2,8,48,1,2,2,400,0,2,3,1,2,2,2,2,2,NA,NA,NA,2
2,"AREQUIPA",2,28,3,2,7,60,1,2,4,1000,0,2,3,1,2,2,2,2,2,NA,NA,NA,2
2,"AREQUIPA",1,58,4,2,6,48,1,2,2,250,0,2,3,2,2,2,2,2,2,NA,NA,NA,2
2,"AREQUIPA",1,21,3,2,4,60,1,2,4,1000,120,1,3,2,2,2,2,2,2,NA,NA,NA,2
2,"AREQUIPA",2,18,3,2,7,54,2,2,4,930,0,1,3,2,2,2,2,2,2,NA,NA,NA,2
3,"AREQUIPA",1,25,3,2,80,37,1,1,1,70,0,1,3,1,2,2,2,2,1,1,4,1,2
3,"AREQUIPA",2,27,3,2,5,54,1,2,4,700,0,1,1,1,2,2,2,2,1,1,4,1,2
3,"AREQUIPA",1,42,3,2,5,72,1,2,2,225,0,1,3,1,2,2,2,2,1,1,4,1,2
3,"AREQUIPA",2,32,3,2,1,72,1,2,3,400,0,1,3,1,2,2,2,2,1,1,4,1,2
3,"AREQUIPA",1,24,3,2,5,41,1,1,4,450,200,1,2,1,2,2,2,2,1,1,4,1,2
3,"AREQUIPA",1,30,4,2,8,77,1,2,4,500,0,1,3,1,2,2,2,2,1,1,4,1,2
3,"AREQUIPA",2,29,3,2,6,58,1,2,3,450,0,1,3,1,2,2,2,2,1,1,5,1,2
3,"AREQUIPA",2,57,3,2,1,2,2,2,1,80,0,1,3,2,2,2,2,2,2,NA,NA,NA,2
3,"AREQUIPA",1,19,3,2,10,34,1,2,4,500,350,1,3,2,2,2,2,2,1,1,3,2,2
3,"AREQUIPA",1,30,4,2,2,72,1,2,4,1500,155,2,3,1,2,2,2,2,2,NA,NA,NA,2
3,"AREQUIPA",1,35,3,2,7,60,1,2,4,930,182,2,3,1,2,2,2,2,2,NA,NA,NA,2
3,"AREQUIPA",2,29,3,2,3,70,1,2,3,354,50,1,1,1,2,2,2,2,1,1,3,2,2
3,"AREQUIPA",1,26,4,2,4,68,1,2,2,300,60,2,1,1,2,2,2,2,1,2,4,2,2
3,"AREQUIPA",1,35,3,1,15,40,1,2,4,2200,0,1,3,1,2,2,2,2,1,1,4,3,2
