"ESTRATO","DEPARTAMENTO","P204","P205A","P612","P613","P614T","P615T","P617","P619","P621","P6221","P6222","P625","P635","P636","P6381","P6382","P6383","P6384","P6391","P6392"
2,"AREQUIPA",1,37,1,2,5,72,1,2,1,40,0,2,2,1,2,2,2,2,1,2
2,"AREQUIPA",1,30,1,2,6,48,1,2,2,420,0,2,1,1,2,2,2,2,1,2
2,"AREQUIPA",2,25,1,2,5,60,1,2,3,500,0,1,2,1,2,2,2,2,1,2
2,"AREQUIPA",1,35,1,2,8,48,1,2,2,400,0,2,2,1,2,2,2,2,2,2
2,"AREQUIPA",2,28,1,2,7,60,1,2,4,1000,0,2,2,1,2,2,2,2,2,2
2,"AREQUIPA",1,58,1,2,6,48,1,2,2,250,0,2,2,2,2,2,2,2,2,2
2,"AREQUIPA",1,21,1,2,4,60,1,2,4,1000,120,1,2,2,2,2,2,2,2,2
2,"AREQUIPA",2,18,1,2,7,54,2,2,4,930,0,1,2,2,2,2,2,2,2,2
3,"AREQUIPA",1,25,1,2,80,37,1,1,1,70,0,1,2,1,2,2,2,2,1,2
3,"AREQUIPA",2,27,1,2,5,54,1,2,4,700,0,1,1,1,2,2,2,2,1,2
3,"AREQUIPA",1,42,1,2,5,72,1,2,2,225,0,1,2,1,2,2,2,2,1,2
3,"AREQUIPA",2,32,1,2,1,72,1,2,3,400,0,1,2,1,2,2,2,2,1,2
3,"AREQUIPA",1,24,1,2,5,41,1,1,4,450,200,1,1,1,2,2,2,2,1,2
3,"AREQUIPA",1,30,1,2,8,77,1,2,4,500,0,1,2,1,2,2,2,2,1,2
3,"AREQUIPA",2,29,1,2,6,58,1,2,3,450,0,1,2,1,2,2,2,2,1,2
3,"AREQUIPA",2,57,1,2,1,2,2,2,1,80,0,1,2,2,2,2,2,2,2,2
3,"AREQUIPA",1,19,1,2,10,34,1,2,4,500,350,1,2,2,2,2,2,2,1,2
3,"AREQUIPA",1,30,1,2,2,72,1,2,4,1500,155,2,2,1,2,2,2,2,2,2
3,"AREQUIPA",1,35,1,2,7,60,1,2,4,930,182,2,2,1,2,2,2,2,2,2
3,"AREQUIPA",2,29,1,2,3,70,1,2,3,354,50,1,1,1,2,2,2,2,1,2
3,"AREQUIPA",1,26,1,2,4,68,1,2,2,300,60,2,1,1,2,2,2,2,1,2
3,"AREQUIPA",1,35,1,1,15,40,1,2,4,2200,0,1,2,1,2,2,2,2,1,2
3,"AREQUIPA",1,31,1,1,80,48,1,2,3,475,0,1,1,1,2,2,2,2,1,2
3,"AREQUIPA",2,35,1,2,4,12,1,1,1,60,30,1,2,1,2,2,2,2,2,2
3,"AREQUIPA",1,27,1,2,4,63,1,2,4,500,0,1,2,1,2,2,2,2,1,2
3,"AREQUIPA",1,27,1,2,7,49,1,2,2,234,50,2,1,1,2,2,2,2,1,2
3,"AREQUIPA",2,27,1,2,4,54,1,1,1,100,30,2,1,2,2,2,2,2,2,2
3,"AREQUIPA",2,18,1,2,4,35,1,2,4,500,0,2,2,2,2,2,2,2,2,2
3,"AREQUIPA",1,29,1,1,10,65,1,2,3,500,6,1,1,1,2,2,2,2,2,2
3,"AREQUIPA",2,28,1,1,4,45,1,2,3,500,0,2,1,1,2,2,2,2,1,2
