"ESTRATO","DEPARTAMENTO","SEXO","EDAD","ESTADO_CIVIL","EDUCACION","FORMAL","HORAS_TRAB_SEM","BUSC_TRAB","TRAB_VEN","INGRESO_D_P","INGRESO_E_P","INGRESO_D_S","INGRESO_E_S","REMESAS_V","REMESAS_O"
5,"ANCASH",1,36,1,8,1,0,2,1,800,150,NA,NA,2,NA
5,"ANCASH",1,62,2,4,NA,70,2,1,NA,NA,NA,NA,NA,NA
4,"ANCASH",2,33,6,10,2,48,2,2,400,150,NA,NA,NA,NA
5,"ANCASH",1,24,6,9,1,72,2,1,380,72,NA,NA,1,NA
4,"ANCASH",1,28,1,4,1,70,2,1,350,0,NA,NA,NA,NA
3,"ANCASH",2,46,1,5,2,72,2,1,40,7,NA,NA,2,NA
3,"ANCASH",1,53,1,5,2,72,2,1,400,25,NA,NA,2,NA
3,"ANCASH",1,16,5,5,2,20,2,2,120,0,NA,NA,NA,NA
4,"ANCASH",1,33,1,10,NA,72,2,1,NA,NA,NA,NA,1,NA
4,"ANCASH",1,35,1,6,NA,70,1,1,NA,NA,NA,NA,1,NA
4,"ANCASH",2,30,1,10,NA,48,2,1,NA,NA,NA,NA,1,NA
4,"ANCASH",1,34,1,10,NA,94,2,1,NA,NA,NA,NA,2,NA
4,"ANCASH",2,25,1,8,NA,84,2,1,NA,NA,NA,NA,2,NA
3,"ANCASH",1,45,1,8,NA,60,2,1,NA,NA,NA,NA,1,NA
3,"ANCASH",2,38,1,10,2,48,1,1,240,42,NA,NA,NA,NA
3,"ANCASH",2,33,1,9,2,54,2,1,350,49,NA,NA,NA,NA
3,"ANCASH",1,35,1,10,NA,84,1,1,NA,NA,NA,NA,NA,NA
4,"ANCASH",1,28,1,3,NA,70,2,1,NA,NA,NA,NA,1,2
3,"ANCASH",1,47,2,10,1,44,2,1,300,0,NA,NA,2,NA
3,"ANCASH",2,38,1,5,2,36,2,2,2003,0,NA,NA,NA,NA
3,"ANCASH",1,19,6,5,2,40,2,2,180,35,NA,NA,NA,NA
3,"ANCASH",1,17,6,5,2,40,2,2,180,42,NA,NA,NA,NA
